race,cluster,lsat,ugpa,zfygpa,zgpa,bar1,fulltime,fam_inc,age,gender
7,2,33,2.8,-0.91,-0.82,F,1,3,-62,male
3,6,31,3.1,-0.19,1.07,P,1,4,-66,male
7,1,34,3.6,0.45,-0.5,P,2,4,-57,male
7,1,39,3.3,1.34,0.64,P,1,4,-60,male
7,1,33,3.7,0.27,-0.14,P,1,3,-60,female
7,1,42,3.7,0.4,-0.37,P,1,3,-59,male
7,3,41,3,0.34,0.35,P,1,4,-60,male
7,1,33,3.6,0,0.4,P,1,3,-62,male
3,1,26,3.2,-1.36,NA,,1,3,NA,female
7,1,34,3.3,-0.92,-1.86,F,2,3,-49,female
7,3,43,2.5,-0.81,-0.36,P,2,4,-49,male
7,3,36,3.3,0.69,0.82,,1,4,NA,female
7,3,37,3.7,1.08,0.98,P,1,3,-62,male
7,3,40,2.7,1.49,1.14,P,1,3,-60,male
7,1,35,3.4,NA,NA,,1,4,NA,male
7,5,45,3.4,0.66,NA,P,1,5,-62,male
7,3,35,3,0.76,0.94,P,1,4,-57,female
7,3,45,3.2,-0.54,-0.53,P,1,NA,-67,male
7,3,38,3.6,1.39,1.6,P,1,2,-58,female
7,3,41,3,NA,NA,,1,3,NA,female
7,3,34,3.3,0.39,0.24,P,1,4,-60,female
7,3,39,3.6,-0.68,-0.8,,1,3,NA,male
7,1,42,3.8,0.26,0.62,P,1,4,-61,male
7,1,43,3.5,-1.17,NA,,1,4,NA,female
7,1,47,2.5,0.44,1.08,P,1,4,-60,female
4,4,40,3.1,-1.03,-1.78,F,1,4,-64,female
7,1,34,2.8,0.02,-0.07,P,1,4,-45,female
7,3,34,3.5,-0.2,-0.57,P,1,4,-63,female
7,3,38,3,0.7,0.89,P,1,4,-60,male
7,3,33,3.1,-0.52,-0.76,P,2,3,-46,male
7,3,37,2.9,0.39,0.73,P,1,4,-64,male
7,3,37,3.6,0.19,0.3,P,1,4,-59,female
7,2,34,3.2,-0.54,-0.44,P,1,3,-61,male
2,4,39,3.5,0.23,0.11,P,1,4,-62,male
7,1,40,3.7,0.8,0.64,P,1,4,-67,male
7,4,42,3.9,2.18,2,P,1,4,-63,female
7,2,26,3.1,-0.58,-0.69,F,1,4,-60,female
7,1,40,3,-1.82,-1.27,P,1,4,-65,male
7,4,33,3.5,-0.08,-0.6,F,1,4,-62,female
7,2,34,3,-2.51,-1.5,P,1,4,-60,male
7,4,42,3,0.52,NA,P,1,4,-63,female
7,3,38,3.4,0.74,NA,P,1,4,-59,male
7,2,37,2.4,-0.51,-0.27,P,2,4,-61,male
7,3,42,3.3,-1.59,-0.82,P,1,4,-62,male
7,3,33,3.6,0.04,NA,,1,4,NA,male
4,5,48,3.2,-0.84,-1.09,P,1,3,-61,male
7,6,25.5,2.5,-0.4,-0.75,P,1,4,-59,male
7,1,40,3.9,-0.16,-0.37,P,1,3,-62,female
7,1,40,4,0.66,1.57,P,1,4,-55,female
7,3,35.5,3.4,0.85,0.37,P,1,4,-58,male
7,3,33,3.8,1.58,1.24,P,1,2,-60,male
7,3,41,3.5,NA,NA,,1,4,NA,male
4,NA,28,2.2,-0.31,-1.45,P,2,3,-64,male
7,1,34,3.7,0.33,-0.01,P,1,4,-62,female
7,3,33,3.4,1.01,0.41,P,1,4,-62,female
7,5,37.7,3.1,NA,NA,P,1,4,-60,female
7,1,44,3.5,-0.15,-0.03,P,1,3,-54,female
7,3,37,2.4,-1.1,-0.73,P,1,3,-59,female
7,3,38,3.3,0.61,0.4,P,1,4,-65,female
7,1,41,3.4,0.12,0.4,P,1,4,-62,female
7,1,35,3.7,0.45,0.59,P,1,4,-62,male
7,1,41,3.6,0.26,0.77,P,NA,4,-60,male
7,5,40,3.8,0.55,0.65,P,1,4,-62,female
7,3,40,2.7,1.49,1.56,P,2,3,-64,male
7,1,37,3.6,1.21,1.22,P,1,3,-57,male
7,3,36,2.6,0.39,-0.39,P,1,4,-59,male
7,1,44,3.3,1.57,1.72,P,1,5,-58,male
7,4,37,3.3,0.82,1.52,P,1,3,-58,male
2,1,30,3,-1.17,NA,,1,1,NA,female
7,3,37,3.4,1.02,2.04,P,2,4,-48,female
7,3,32.3,2.5,-0.79,-1.75,P,1,4,-61,female
7,4,36,2.8,-1.73,NA,,1,4,NA,female
4,1,29,3.3,-1.59,-1.42,P,1,2,-61,male
7,1,40,2.7,-0.12,0.03,P,1,4,-58,female
7,3,33,3.2,-0.21,0.01,P,1,4,-61,male
7,3,40,3.8,0.4,0.51,P,1,3,-60,male
7,3,33,2.7,-0.24,0.1,P,1,4,-57,female
2,5,43,3.6,-1.07,-0.94,P,1,2,-60,male
7,5,39,3.7,NA,NA,,1,4,NA,male
7,1,26,2.6,1.28,-0.85,F,2,4,-61,male
7,3,42,2.9,0.17,NA,P,1,4,-61,male
7,3,32,3.3,-0.37,-0.15,F,1,4,-56,female
7,4,35.5,3.7,0.15,0.32,P,1,4,-62,female
7,3,32,3.4,1.34,-0.78,P,2,3,-52,female
7,3,46,2.9,-0.86,-1.09,P,1,4,-58,male
7,1,40,3,0.14,0.57,P,1,3,-60,male
7,1,35,3.4,1.34,1.42,P,1,4,-61,female
7,5,46,2.2,2.72,-0.36,P,1,4,-59,male
7,1,38,3,0.96,0.3,P,1,3,-59,male
4,2,26,2.8,NA,NA,,2,2,NA,male
7,4,36,3.9,-0.25,0.39,P,1,3,-42,male
7,2,33.5,3.1,0.34,0.55,P,1,4,-62,female
2,3,31.5,2.8,-2.23,NA,,1,4,NA,male
7,3,39,3.5,NA,NA,P,1,3,-54,female
7,3,32,3.5,-0.56,-0.01,P,1,3,-62,female
7,3,31.5,3.6,-0.67,-1.3,F,1,4,-61,male
7,3,39,3.2,-0.96,-0.96,,1,3,NA,female
7,4,42,3.4,0.55,0.7,P,1,2,-62,male
7,1,41,3.2,0.19,0.45,P,1,4,-62,female
7,4,46,3.8,-0.25,-1.04,P,1,3,-62,female
7,1,38,3.6,0.22,0.18,P,1,4,-62,female
6,4,42,2.8,NA,NA,P,1,3,-62,male
7,3,42,3.2,0.82,1.09,P,1,4,-56,female
7,NA,31,2.5,-1.32,NA,,2,2,NA,female
7,1,35.5,3.2,-1.06,-0.7,P,2,4,-60,male
7,6,29,3,NA,NA,F,1,3,-55,male
7,4,33.5,3.8,-1.51,-1.76,,1,4,NA,female
7,3,34,3.3,1.19,0.44,P,2,3,-58,male
4,3,32,2.7,-0.5,-1.36,P,1,2,-60,female
7,3,32,3.1,-0.37,0.67,P,1,4,-62,male
7,3,42,3.3,-1.13,-0.58,P,1,4,-62,female
7,5,41,4,0.63,0.76,P,1,2,-65,female
7,3,36,2.9,-0.12,-0.63,P,1,4,-62,male
7,3,33,3.1,1.19,1.7,P,1,3,-66,male
3,6,23,2.8,1,0.48,P,1,3,-60,male
7,3,38,3.2,0.69,0.19,,1,4,NA,male
7,1,38,3.1,-0.35,NA,,1,4,NA,male
6,3,23,3.1,-0.44,-0.77,P,1,5,-67,male
7,3,40,3.3,2.15,1.84,P,1,3,-62,male
7,3,36,3,-0.94,-1.32,F,1,3,-62,male
7,5,48,3.7,NA,0,P,1,4,-61,female
7,3,37,3.3,1.04,0.97,P,1,3,-61,female
7,5,30,2.9,-0.86,-1.43,F,1,4,-60,male
3,1,27,2.6,-1.23,-1.72,F,2,1,-53,female
3,1,23,2.6,-1.42,-1.77,P,1,3,-61,female
7,4,38,2.7,0.35,0.94,P,1,3,-57,male
7,2,45,3.1,2.23,2.14,F,1,4,-61,female
7,3,40,2.6,-0.44,-1.36,F,1,4,-60,female
7,1,40,3.6,-0.45,-0.4,P,1,4,-62,male
7,1,40,3.6,0.4,0.3,P,1,3,-62,male
7,3,38,2.6,1.75,1.94,P,2,4,-60,male
7,5,39.5,3.6,-0.69,-0.51,P,1,4,-60,female
7,5,40,3.8,1.54,NA,P,1,4,-62,male
7,4,33.5,3.2,-0.83,-0.17,P,1,3,-61,female
7,3,42,3.2,0.08,0.02,P,1,4,-62,male
7,3,30,3.2,0.54,0.74,P,1,4,-62,male
7,2,35,3.2,1.21,1.07,P,1,2,-61,male
7,1,42,3.4,0.86,1.05,P,1,3,-59,male
7,1,42,4,1.5,1.22,P,1,3,-61,male
7,2,NA,3.8,0.91,0.81,P,1,2,-50,female
7,4,41,2.9,1.06,0.96,P,1,3,-61,female
7,5,41,3.9,0.61,1.24,P,1,4,-57,male
7,1,39,3.4,-0.89,-0.97,P,1,4,-67,male
7,1,40,3.3,0.86,0.78,P,1,3,-55,female
7,3,30,3.5,-1.32,-1.51,P,1,3,-62,female
7,4,47,NA,-1.73,NA,,1,4,NA,male
7,5,37,3.4,-0.06,0.27,P,1,4,-62,female
6,4,36,3.9,1.77,1.91,P,1,2,-62,male
3,1,NA,3.3,-0.43,-0.05,P,1,3,-59,female
6,3,26,3.3,NA,NA,,1,3,NA,female
7,5,47,3.7,NA,0,P,1,5,-62,male
7,1,36,3.5,-0.12,-0.06,P,1,3,-59,female
7,3,33,2.9,-0.47,-0.65,P,1,3,-60,male
7,3,38,3.5,0.55,0.46,P,1,3,-61,female
4,5,31,3.1,-1.99,-2.03,P,1,1,-62,male
7,4,46,3.6,0.69,1.01,P,1,1,-59,male
7,3,38,3.3,NA,NA,,1,4,NA,male
7,1,37,3.8,NA,NA,,1,4,NA,female
7,1,37,2.9,0.2,-0.14,P,1,4,-59,male
7,3,36,3.6,-0.93,NA,,2,4,NA,male
7,3,29,2.5,-0.75,-0.78,F,1,4,-59,female
3,5,40,3.4,-1.53,-1.49,P,1,2,-67,male
7,3,35,3.5,1.26,0.98,P,1,4,-61,male
7,3,37,2.9,0.92,0.62,P,1,5,-56,female
4,5,42,3.4,-1.12,NA,P,1,2,-66,male
7,4,44,3.8,1.36,1.5,P,1,3,-61,female
7,3,40,3.6,1.4,0.91,P,1,3,-60,female
7,5,43,3.6,2.45,2.8,P,1,2,-44,female
7,1,36,3.2,0.17,0.08,P,1,4,-62,male
3,5,36,3.9,0.6,0.3,P,1,2,-57,female
7,1,37,3.8,0.64,0.45,P,1,3,-55,female
7,1,37,3.7,0.59,0.75,P,1,3,-49,female
7,3,42,3.9,0.61,0.47,P,1,3,-55,female
7,5,44,3.6,1.26,1.57,P,1,3,-62,male
7,1,40,3.7,-0.05,0.4,F,1,4,-66,female
7,2,31,3.5,0.61,0.7,P,1,3,-59,female
7,1,39,3,-0.9,-0.09,P,1,3,-46,female
3,6,21,2.9,-0.58,NA,,1,4,NA,male
7,1,41,3.8,0.43,0.41,P,1,4,-62,female
7,5,44,4,-0.58,NA,,1,4,NA,male
7,4,35,3.4,-1.96,-0.76,P,1,3,-58,male
7,3,42,3.2,-0.1,0,P,1,4,-62,male
7,3,38,2.2,-0.94,-0.91,P,1,4,-57,male
7,1,39.5,2.9,1.39,1.13,P,1,4,-62,male
3,6,28,3.1,2.23,2.18,P,1,3,-64,female
7,1,37,3.1,-0.72,-1.1,P,1,4,-62,female
4,4,31,3.1,-1.01,-0.86,,1,3,NA,female
7,3,37,2.5,-0.77,-1.55,F,1,5,-61,male
7,5,47,3.8,0.5,-0.04,P,1,4,-62,male
7,3,36,3.3,0.53,0.58,P,1,4,-56,male
7,4,42,3.8,0.54,0.38,P,1,2,-57,male
7,3,35,3.2,-0.69,-0.49,F,1,NA,-62,male
7,3,NA,3.4,0.32,0.49,P,1,2,-37,female
7,5,45,3.6,0.25,0.19,P,1,4,-65,female
7,3,40,2.5,-0.93,-1.04,P,1,3,-58,male
2,1,38,2.9,-0.58,-1.87,F,1,3,-61,male
7,5,44,3.8,-0.39,-0.18,P,1,5,-62,male
7,1,43,3.2,-1.43,NA,,2,2,NA,female
7,2,34,3,-1.27,-1.48,F,1,3,-60,female
7,2,30,3.3,NA,NA,,1,1,NA,male
7,2,27,3.9,-1.7,NA,,1,1,NA,male
7,1,37,4,0.79,0.88,P,1,3,-61,female
7,5,47,3.5,-0.6,-0.37,P,1,4,-62,male
2,6,30.7,1.9,-0.02,0.03,F,1,4,-64,male
7,4,40.5,3.1,-0.43,-0.92,P,1,4,-59,female
7,1,41,3.9,0.19,-0.46,P,1,3,-61,male
7,3,40,3.5,0.53,-0.11,P,1,4,-67,female
7,1,41,3.4,1.57,1.01,P,1,3,-61,female
7,1,39,3.9,NA,NA,,1,2,NA,female
3,1,26,3,-1.57,-1.58,F,1,5,-67,female
7,3,31.5,3.3,-1.62,-1.66,P,2,4,-51,female
7,2,32,3.1,NA,NA,,1,4,NA,male
7,1,39,3.6,-0.31,-1.77,F,1,3,-57,female
7,2,30,3.5,0.3,0.23,F,1,3,-61,female
7,3,34,3.5,1.75,3.15,P,1,3,-44,male
7,4,44,3.7,0.55,1.02,P,1,4,-62,female
7,1,43,3.7,-0.18,NA,,1,3,NA,female
7,1,39,3.5,-0.81,-0.07,P,1,3,-49,male
7,5,48,3.5,1.26,0.37,P,1,3,-63,male
2,1,42,3.3,-0.11,-0.22,P,1,3,-61,female
7,2,29,2.8,0.05,NA,,1,4,NA,male
7,2,32.5,2.8,0.94,1.12,P,1,3,-61,male
7,1,47,3.4,0.32,0.27,P,1,4,-61,male
7,4,44,3.9,0.44,1.31,P,1,3,-56,male
7,2,34,2.5,-0.99,-0.91,P,1,5,-61,male
7,1,30,3.2,-1.03,-0.99,P,1,3,-46,female
7,1,37,3.5,0.23,-0.53,P,1,1,-61,male
3,3,34,3,-0.47,0.01,P,1,2,-62,female
5,3,31,3,-1.46,-1.34,F,2,2,-42,male
7,3,38,3.2,1.49,1.7,P,2,2,-49,female
7,3,34,3,-0.5,-1.41,F,1,4,-62,female
7,3,30,3.7,0.03,NA,,1,2,NA,female
8,4,41,3.6,0.16,-0.35,P,1,4,-55,male
7,5,36.5,3.3,-0.52,-0.85,P,1,4,-58,female
7,5,47,3.4,-1.29,-1.06,P,1,3,-62,female
7,1,39,3.5,0.19,0.45,P,1,2,-62,female
7,3,41,2.9,0.56,-0.03,P,1,4,-62,male
7,3,40,2.9,0.51,0.62,P,1,3,-60,female
7,1,38,3.9,0.76,0.46,P,1,4,-51,female
7,4,44,3.8,1.2,-0.55,,1,2,NA,male
5,6,36,2.7,0.11,0.01,P,1,4,-59,female
7,1,38,3.3,-0.54,-0.44,P,1,3,-67,male
7,4,46,3.4,0.73,0.28,P,1,5,-61,male
7,3,36,2.5,0.03,-0.15,P,1,4,-61,male
7,3,30.5,3.1,0.96,0.91,P,1,4,-61,male
4,3,39,3.4,-0.68,0,P,1,3,-58,female
7,3,34,3.2,0.75,0.47,P,1,3,-60,male
7,1,41,3.8,1.6,1.49,P,1,3,-62,female
7,4,43,3.6,-0.99,-0.1,P,1,4,-60,female
4,1,33,3.1,-1.31,-0.84,P,1,2,-61,male
7,1,39,3.3,1.06,1.32,P,1,4,-62,male
7,2,34,2.6,-0.7,-0.67,P,1,4,-61,female
6,2,28,3.1,-1.27,-0.53,P,1,1,-66,female
7,4,46,3.9,0.43,0.33,P,1,4,-41,female
7,3,37,3.4,-0.1,-0.14,P,1,3,-62,female
4,3,27,2.3,-1.26,-1.27,P,1,3,-55,male
7,5,35,3.7,0.17,0.54,P,1,5,-62,male
7,5,41,3.4,-1,NA,P,1,3,-47,female
2,4,35,3,-1.23,-1.41,F,1,4,-62,female
7,1,18,3.9,-1.38,-1.43,,1,2,NA,female
7,4,35,3.2,0.35,0.26,P,1,4,-60,male
7,3,26.5,2.8,-0.12,-0.67,P,1,5,-60,female
7,1,36,3.1,-0.57,NA,,1,3,NA,female
7,1,40,2.9,-0.41,-0.8,P,1,4,-62,male
7,3,39,3.3,1.16,1.25,P,1,4,-62,female
7,1,28,3.1,-1.82,-2.27,F,2,3,-47,male
3,6,22.5,2.9,-1.28,-1.44,P,1,3,-57,male
2,4,34,3.3,0.33,-1.01,F,1,4,-62,male
7,1,39,3.9,0.54,-0.49,P,1,3,-61,male
7,4,44,3.8,0.89,0.29,P,1,4,-62,male
7,3,33,3.5,-0.48,-0.76,P,1,3,-62,female
4,4,38,2.8,-1.84,-1.33,P,1,2,-62,female
7,4,39,3.6,0.75,0.91,P,1,3,-60,male
7,3,48,3.2,1.55,1.67,P,1,4,-56,female
3,3,31,2.7,-0.89,NA,,2,4,NA,female
7,1,38,2.8,-0.4,-1.11,F,1,3,-61,male
7,5,46,3,-0.21,-0.46,P,1,4,-59,male
7,1,40,3.1,0.19,-0.11,P,1,3,-48,female
7,4,39,3.3,1.41,1.97,P,1,5,-62,female
4,3,35,2.8,-1.25,NA,,2,3,NA,male
7,1,41,3.6,0.79,0.77,P,1,4,-61,female
7,4,43,3.9,-0.57,-0.04,P,1,2,-62,female
7,1,36,3.3,0.29,0.03,P,1,3,-60,male
7,3,33,2.8,0.44,0.03,P,2,5,-55,female
7,3,34,3,0.5,1.19,,1,3,NA,female
7,5,45,3.6,NA,0,F,1,4,-48,male
7,2,31,2.8,1.1,0.47,P,1,3,-67,male
7,1,45,3.5,0.23,0.62,P,1,4,-60,male
7,5,43,3.6,0.93,0.87,P,1,5,-61,male
7,5,41,3.7,0.9,1.1,P,1,4,-62,male
7,4,41,3.6,-0.43,-0.39,P,1,3,-61,female
7,4,47,3.8,0.09,0.22,P,1,4,-62,male
8,2,29,3,-0.28,-0.06,F,1,4,-62,male
7,1,37,3.6,0.81,0.74,P,1,3,-62,male
7,6,34,2.7,1.59,2.37,P,1,2,-61,female
7,5,42,3.7,-0.35,0.11,P,1,4,-62,male
3,1,35,2.7,-1.92,NA,,1,2,NA,female
4,1,33,3.5,-1.22,NA,,1,1,NA,male
